Tempo (ms);Trajetória 1;Trajetória 2
31670;-1.7138292391377;22.9968181010286
31721;-2.85829196140885;21.8650979624732
31751;-4.00402944786623;20.74518260762
31775;-5.14438050442708;19.6398355920115
31811;-6.27481310874438;18.5420261716599
31846;-7.39490945593086;17.4392380231703
31871;-8.50707944020068;16.3242192620414
31911;-9.61610001546008;15.1986416994504
31942;-10.728590157461;14.067658129485
31972;-11.8489475991534;12.9337611858983
32014;-12.9764648602732;11.7953377893919
32048;-14.1087639443457;10.651406547655
32075;-15.2449127403419;9.50599912144214
32113;-16.3843321808356;8.36557529006496
32141;-17.52611075335;7.23495080844967
32178;-18.6687497185976;6.11656825794268
32206;-19.8101090043607;5.00948179286602
32233;-20.9483092291094;3.90707259409965
32283;-22.0811457705246;2.79979596717114
32313;-23.2050320321943;1.68479461510054
32339;-24.3138275217674;0.57243238086689
32382;-25.3966032331409;-0.516218452622014
32412;-26.4367342113878;-1.55616097493613
32446;-27.4139364193848;-2.52559385930513
32478;-28.3103417883273;-3.41200519673938
32520;-29.1168661957261;-4.21289421702305
32543;-29.8333772467481;-4.92961520067107
32574;-30.4654271409614;-5.56447170628614
32626;-31.0218829050867;-6.12472044422891
32647;-31.5122044597558;-6.62030770863309
32675;-31.9427909151294;-7.05560965834814
32714;-32.3138016995657;-7.42934905214773
32745;-32.6209733269561;-7.73971236282012
32778;-32.8622530301699;-7.98603245476941
32810;-33.0397447391975;-8.16868928505765
32845;-33.1569612082967;-8.28956761809508
32880;-33.220736591688;-8.35519451750902
32920;-33.2446952583405;-8.37958712556975
32948;-33.2458622402495;-8.38035716266213
32980;-33.2381260864017;-8.37187435755731
33013;-33.2295356001295;-8.36247590008308
33040;-33.2232879786287;-8.35547932951403
33081;-33.2197365544351;-8.35125263340122
33113;-33.2180906444017;-8.34897365595507
33148;-33.2174226995493;-8.34767467761798
33191;-33.2170753802369;-8.34666875607498
33214;-33.2167108466291;-8.34560644988951
33247;-33.2162176300836;-8.34438026896666
33286;-33.2156005200914;-8.34300659869556
33315;-33.2149024750267;-8.34153992876879
33350;-33.2141654946432;-8.34002879828497
33383;-33.2134179113652;-8.33850325201131
33419;-33.2126726652026;-8.3369813880653
33451;-33.2119284220317;-8.33548420453866
33510;-33.2111714757874;-8.33404568604303
33518;-33.2103793325208;-8.33270453494837
33551;-33.2095298424027;-8.33146778361095
33592;-33.208620691491;-8.33023980670519
33608;-33.2077001836641;-8.32872333889376
33651;-33.2069028256282;-8.32634040017827
33681;-33.2064702010228;-8.32228762357048
33706;-33.2067134264278;-8.31590821707939
33731;-33.2078460478624;-8.30758217701397
33770;-33.2096132239985;-8.30020460454343
33804;-33.2107038103433;-8.30088834327657
33842;-33.2083775769705;-8.32115703281316
33878;-33.1995633019115;-8.37357239087908
33916;-33.182905400568;-8.4675768465515
33945;-33.1584562101279;-8.6103804364961
33973;-33.1247740980329;-8.81038903787578
33993;-33.0773517387307;-9.0757784047731
34044;-33.0113054882236;-9.41106593659019
34078;-32.9255100367109;-9.81806185012952
34099;-32.8210579675287;-10.2976735259189
34148;-32.6962806841001;-10.8480804363243
34178;-32.5480241831603;-11.4633959597625
34215;-32.3758357554538;-12.1371282267313
34249;-32.1801362244438;-12.8675951496367
34269;-31.9601617761303;-13.6593491934183
34310;-31.7172963712118;-14.517917080566
34350;-31.4561557504176;-15.4431578122667
34375;-31.1808794930943;-16.428120468516
34412;-30.8927682359067;-17.4616484734846
34440;-30.5902705340551;-18.5305364895178
34477;-30.2697186006579;-19.6224307611968
34504;-29.9289131704748;-20.7314817639086
34536;-29.56971785976;-21.8624101007152
34579;-29.1944967016329;-23.0248158702165
34610;-28.8043402206647;-24.2210502482148
34638;-28.4020226143973;-25.4418329219033
34675;-27.9926943734385;-26.6715029881222
34698;-27.5831096613653;-27.8955007524366
34741;-27.1799205087351;-29.1080104634731
34769;-26.7857802949323;-30.3136133834267
34806;-26.3979377572007;-31.51883722399
34849;-26.0118402260888;-32.7229765347034
34881;-25.6275447522551;-33.9154504310201
34922;-25.2523261079609;-35.0787950383974
34947;-24.8937498889113;-36.1963241022253
34973;-24.5512487027392;-37.2605982542724
35004;-24.2183532651693;-38.2747731877336
35051;-23.8915566212143;-39.2456926777128
35090;-23.5730153350126;-40.1771964390638
35117;-23.2659613438775;-41.0681281781863
35148;-22.9723168803186;-41.9117822668266
35181;-22.6955690619783;-42.6951973228785
35226;-22.4425525380936;-43.4005278588681
35254;-22.2211576809614;-44.0103593328707
35272;-22.0361172086666;-44.5137837457405
35327;-21.8871837520582;-44.907598752759
35351;-21.7724414247354;-45.1949310671743
35376;-21.6906132039486;-45.3872140942171
35408;-21.6390996023979;-45.5039123008476
35448;-21.6125769028598;-45.5644207744621
35482;-21.6034307074215;-45.5822070290507
35513;-21.6035022358674;-45.5673238358917
35552;-21.6065553155226;-45.5313402323041
35576;-21.6092433589861;-45.4893342930802
35626;-21.6104326608489;-45.4552489968167
35653;-21.6101655404559;-45.4351007879599
35686;-21.608858049717;-45.4270287582676
35712;-21.6068648540566;-45.426225923914
35737;-21.6043508605042;-45.4284660099028
35766;-21.6013841913952;-45.4311798843219
35808;-21.5981967224651;-45.4332777905239
